# x y
# Function f(x) = exp( 40/(10 + x)) * sin(x)
# Refering points: 
 -10.00000000 29.70254499
 -9.25000000 -7.18212191
 -8.50000000 -25.87363204
 -7.75000000 -26.04667779
 -7.00000000 -14.25106137
 -6.25000000 0.60851073
 -5.50000000 11.13206085
 -4.75000000 13.76657195
 -4.00000000 9.21974159
 -3.25000000 1.17849806
 -2.50000000 -5.88460115
 -1.75000000 -8.80779509
 -1.00000000 -6.90785652
 -0.25000000 -1.87495305
 0.50000000 3.37384420
 1.25000000 6.23382578
 2.00000000 5.60186043
 2.75000000 2.21448356
 3.50000000 -1.92425872
 4.25000000 -4.65778991

# Interpolation data:

 -10.00000000 29.70254499

# Newton, deg=4

-10.00000000 29.70254499

# Cubic Spline, 5 points

-10.00000000 29.70254499

# Trigonometric, deg=3, sect=4 

-10.00000000 29.70254500
