# x y
# Function f(x) = 3x³ - x²
# Refering points: 
 -5.00000000 -400.00000000
 -4.50000000 -293.62500000
 -4.00000000 -208.00000000
 -3.50000000 -140.87500000
 -3.00000000 -90.00000000
 -2.50000000 -53.12500000
 -2.00000000 -28.00000000
 -1.50000000 -12.37500000
 -1.00000000 -4.00000000
 -0.50000000 -0.62500000
 0.00000000 0.00000000
 0.50000000 0.12500000
 1.00000000 2.00000000
 1.50000000 7.87500000
 2.00000000 20.00000000
 2.50000000 40.62500000
 3.00000000 72.00000000
 3.50000000 116.37500000
 4.00000000 176.00000000
 4.50000000 253.12500000

# Interpolation data:

 -5.00000000 -400.00000000
 -4.95250000 -388.94096612
 -4.90500000 -378.08757814
 -4.85750000 -367.43790698
 -4.81000000 -356.99002352
 -4.76250000 -346.74199868
 -4.71500000 -336.69190337
 -4.66750000 -326.83780850
 -4.62000000 -317.17778496
 -4.57250001 -307.70990367
 -4.52500001 -298.43223553
 -4.47750001 -289.34285144
 -4.43000001 -280.43982233
 -4.38250001 -271.72121908
 -4.33500001 -263.18511261
 -4.28750001 -254.82957382
 -4.24000001 -246.65267362
 -4.19250001 -238.65248292
 -4.14500001 -230.82707262
 -4.09750001 -223.17451363
 -4.05000001 -215.69287686
 -4.00250001 -208.38023320
 -3.95500001 -201.23465357
 -3.90750001 -194.25420888
 -3.86000001 -187.43697003
 -3.81250001 -180.78100792
 -3.76500002 -174.28439347
 -3.71750002 -167.94519757
 -3.67000002 -161.76149115
 -3.62250002 -155.73134509
 -3.57500002 -149.85283031
 -3.52750002 -144.12401772
 -3.48000002 -138.54297821
 -3.43250002 -133.10778271
 -3.38500002 -127.81650210
 -3.33750002 -122.66720731
 -3.29000002 -117.65796923
 -3.24250002 -112.78685878
 -3.19500002 -108.05194685
 -3.14750002 -103.45130436
 -3.10000002 -98.98300221
 -3.05250002 -94.64511131
 -3.00500003 -90.43570256
 -2.95750003 -86.35284687
 -2.91000003 -82.39461515
 -2.86250003 -78.55907830
 -2.81500003 -74.84430723
 -2.76750003 -71.24837285
 -2.72000003 -67.76934606
 -2.67250003 -64.40529777
 -2.62500003 -61.15429888
 -2.57750003 -58.01442030
 -2.53000003 -54.98373294
 -2.48250003 -52.06030771
 -2.43500003 -49.24221550
 -2.38750003 -46.52752723
 -2.34000003 -43.91431380
 -2.29250003 -41.40064612
 -2.24500003 -38.98459510
 -2.19750004 -36.66423164
 -2.15000004 -34.43762664
 -2.10250004 -32.30285102
 -2.05500004 -30.25797568
 -2.00750004 -28.30107153
 -1.96000004 -26.43020947
 -1.91250004 -24.64346041
 -1.86500004 -22.93889525
 -1.81750004 -21.31458491
 -1.77000004 -19.76860029
 -1.72250004 -18.29901229
 -1.67500004 -16.90389182
 -1.62750004 -15.58130979
 -1.58000004 -14.32933710
 -1.53250004 -13.14604466
 -1.48500004 -12.02950338
 -1.43750004 -10.97778416
 -1.39000005 -9.98895791
 -1.34250005 -9.06109554
 -1.29500005 -8.19226795
 -1.24750005 -7.38054604
 -1.20000005 -6.62400073
 -1.15250005 -5.92070292
 -1.10500005 -5.26872352
 -1.05750005 -4.66613343
 -1.01000005 -4.11100356
 -0.96250005 -3.60140482
 -0.91500005 -3.13540811
 -0.86750005 -2.71108433
 -0.82000005 -2.32650440
 -0.77250005 -1.97973923
 -0.72500005 -1.66885971
 -0.67750005 -1.39193675
 -0.63000005 -1.14704126
 -0.58250006 -0.93224416
 -0.53500006 -0.74561633
 -0.48750006 -0.58522869
 -0.44000006 -0.44915215
 -0.39250006 -0.33545761
 -0.34500006 -0.24221598
 -0.29750006 -0.16749816
 -0.25000006 -0.10937506
 -0.20250006 -0.06591759
 -0.15500006 -0.03519666
 -0.10750006 -0.01528316
 -0.06000006 -0.00424801
 -0.01250006 -0.00016211
 0.03499994 -0.00109637
 0.08249994 -0.00512170
 0.12999994 -0.01030899
 0.17749994 -0.01472917
 0.22499993 -0.01645313
 0.27249993 -0.01355177
 0.31999993 -0.00409602
 0.36749993 0.01384323
 0.41499993 0.04219508
 0.46249993 0.08288860
 0.50999993 0.13785291
 0.55749993 0.20901709
 0.60499993 0.29831023
 0.65249993 0.40766143
 0.69999993 0.53899978
 0.74749993 0.69425439
 0.79499993 0.87535433
 0.84249993 1.08422870
 0.88999993 1.32280660
 0.93749993 1.59301713
 0.98499992 1.89678937
 1.03249992 2.23605241
 1.07999992 2.61273536
 1.12749992 3.02876731
 1.17499992 3.48607734
 1.22249992 3.98659456
 1.26999992 4.53224806
 1.31749992 5.12496692
 1.36499992 5.76668025
 1.41249992 6.45931714
 1.45999992 7.20480668
 1.50749992 8.00507797
 1.55499992 8.86206009
 1.60249992 9.77768215
 1.64999992 10.75387323
 1.69749992 11.79256243
 1.74499992 12.89567885
 1.79249991 14.06515158
 1.83999991 15.30290970
 1.88749991 16.61088232
 1.93499991 17.99099853
 1.98249991 19.44518742
 2.02999991 20.97537809
 2.07749991 22.58349962
 2.12499991 24.27148112
 2.17249991 26.04125168
 2.21999991 27.89474038
 2.26749991 29.83387633
 2.31499991 31.86058862
 2.36249991 33.97680634
 2.40999991 36.18445859
 2.45749991 38.48547445
 2.50499991 40.88178303
 2.55249991 43.37531341
 2.59999990 45.96799469
 2.64749990 48.66175597
 2.69499990 51.45852633
 2.74249990 54.36023488
 2.78999990 57.36881070
 2.83749990 60.48618288
 2.88499990 63.71428053
 2.93249990 67.05503274
 2.97999990 70.51036859
 3.02749990 74.08221719
 3.07499990 77.77250763
 3.12249990 81.58316899
 3.16999990 85.51613038
 3.21749990 89.57332088
 3.26499990 93.75666960
 3.31249990 98.06810562
 3.35999990 102.50955805
 3.40749989 107.08295596
 3.45499989 111.79022846
 3.50249989 116.63330464
 3.54999989 121.61411359
 3.59749989 126.73458441
 3.64499989 131.99664619
 3.69249989 137.40222803
 3.73999989 142.95325901
 3.78749989 148.65166824
 3.83499989 154.49938480
 3.88249989 160.49833779
 3.92999989 166.65045630
 3.97749989 172.95766943
 4.02499989 179.42190627
 4.07249989 186.04509592
 4.11999989 192.82916746
 4.16749988 199.77604999
 4.21499988 206.88767261
 4.26249988 214.16596441
 4.30999988 221.61285448
 4.35749988 229.23027191
 4.40499988 237.02014580
 4.45249988 244.98440525
 4.49999988 253.12497935

# Lagrange 

-5.00000000 -400.00000000
-4.95250000 -388.94096612
-4.90500000 -378.08757814
-4.85750000 -367.43790698
-4.81000000 -356.99002352
-4.76250000 -346.74199868
-4.71500000 -336.69190337
-4.66750000 -326.83780850
-4.62000000 -317.17778496
-4.57250001 -307.70990367
-4.52500001 -298.43223553
-4.47750001 -289.34285144
-4.43000001 -280.43982233
-4.38250001 -271.72121908
-4.33500001 -263.18511261
-4.28750001 -254.82957382
-4.24000001 -246.65267362
-4.19250001 -238.65248292
-4.14500001 -230.82707262
-4.09750001 -223.17451363
-4.05000001 -215.69287686
-4.00250001 -208.38023320
-3.95500001 -201.23465357
-3.90750001 -194.25420888
-3.86000001 -187.43697003
-3.81250001 -180.78100792
-3.76500002 -174.28439347
-3.71750002 -167.94519757
-3.67000002 -161.76149115
-3.62250002 -155.73134509
-3.57500002 -149.85283031
-3.52750002 -144.12401772
-3.48000002 -138.54297821
-3.43250002 -133.10778271
-3.38500002 -127.81650210
-3.33750002 -122.66720731
-3.29000002 -117.65796923
-3.24250002 -112.78685878
-3.19500002 -108.05194685
-3.14750002 -103.45130436
-3.10000002 -98.98300221
-3.05250002 -94.64511131
-3.00500003 -90.43570256
-2.95750003 -86.35284687
-2.91000003 -82.39461515
-2.86250003 -78.55907830
-2.81500003 -74.84430723
-2.76750003 -71.24837285
-2.72000003 -67.76934606
-2.67250003 -64.40529777
-2.62500003 -61.15429888
-2.57750003 -58.01442030
-2.53000003 -54.98373294
-2.48250003 -52.06030771
-2.43500003 -49.24221550
-2.38750003 -46.52752723
-2.34000003 -43.91431380
-2.29250003 -41.40064612
-2.24500003 -38.98459510
-2.19750004 -36.66423164
-2.15000004 -34.43762664
-2.10250004 -32.30285102
-2.05500004 -30.25797568
-2.00750004 -28.30107153
-1.96000004 -26.43020947
-1.91250004 -24.64346041
-1.86500004 -22.93889525
-1.81750004 -21.31458491
-1.77000004 -19.76860029
-1.72250004 -18.29901229
-1.67500004 -16.90389182
-1.62750004 -15.58130979
-1.58000004 -14.32933710
-1.53250004 -13.14604466
-1.48500004 -12.02950338
-1.43750004 -10.97778416
-1.39000005 -9.98895791
-1.34250005 -9.06109554
-1.29500005 -8.19226795
-1.24750005 -7.38054604
-1.20000005 -6.62400073
-1.15250005 -5.92070292
-1.10500005 -5.26872352
-1.05750005 -4.66613343
-1.01000005 -4.11100356
-0.96250005 -3.60140482
-0.91500005 -3.13540811
-0.86750005 -2.71108433
-0.82000005 -2.32650440
-0.77250005 -1.97973923
-0.72500005 -1.66885971
-0.67750005 -1.39193675
-0.63000005 -1.14704126
-0.58250006 -0.93224416
-0.53500006 -0.74561633
-0.48750006 -0.58522869
-0.44000006 -0.44915215
-0.39250006 -0.33545761
-0.34500006 -0.24221598
-0.29750006 -0.16749816
-0.25000006 -0.10937506
-0.20250006 -0.06591759
-0.15500006 -0.03519666
-0.10750006 -0.01528316
-0.06000006 -0.00424801
-0.01250006 -0.00016211
0.03499994 -0.00109637
0.08249994 -0.00512170
0.12999994 -0.01030899
0.17749994 -0.01472917
0.22499993 -0.01645313
0.27249993 -0.01355177
0.31999993 -0.00409602
0.36749993 0.01384323
0.41499993 0.04219508
0.46249993 0.08288860
0.50999993 0.13785291
0.55749993 0.20901709
0.60499993 0.29831023
0.65249993 0.40766143
0.69999993 0.53899978
0.74749993 0.69425439
0.79499993 0.87535433
0.84249993 1.08422870
0.88999993 1.32280660
0.93749993 1.59301713
0.98499992 1.89678937
1.03249992 2.23605241
1.07999992 2.61273536
1.12749992 3.02876731
1.17499992 3.48607734
1.22249992 3.98659456
1.26999992 4.53224806
1.31749992 5.12496692
1.36499992 5.76668025
1.41249992 6.45931714
1.45999992 7.20480668
1.50749992 8.00507797
1.55499992 8.86206009
1.60249992 9.77768215
1.64999992 10.75387323
1.69749992 11.79256243
1.74499992 12.89567885
1.79249991 14.06515158
1.83999991 15.30290970
1.88749991 16.61088232
1.93499991 17.99099853
1.98249991 19.44518742
2.02999991 20.97537809
2.07749991 22.58349962
2.12499991 24.27148112
2.17249991 26.04125168
2.21999991 27.89474038
2.26749991 29.83387633
2.31499991 31.86058862
2.36249991 33.97680634
2.40999991 36.18445859
2.45749991 38.48547445
2.50499991 40.88178303
2.55249991 43.37531341
2.59999990 45.96799469
2.64749990 48.66175597
2.69499990 51.45852633
2.74249990 54.36023488
2.78999990 57.36881070
2.83749990 60.48618288
2.88499990 63.71428053
2.93249990 67.05503274
2.97999990 70.51036859
3.02749990 74.08221719
3.07499990 77.77250763
3.12249990 81.58316899
3.16999990 85.51613038
3.21749990 89.57332088
3.26499990 93.75666960
3.31249990 98.06810562
3.35999990 102.50955805
3.40749989 107.08295596
3.45499989 111.79022846
3.50249989 116.63330464
3.54999989 121.61411359
3.59749989 126.73458441
3.64499989 131.99664619
3.69249989 137.40222803
3.73999989 142.95325901
3.78749989 148.65166824
3.83499989 154.49938480
3.88249989 160.49833779
3.92999989 166.65045630
3.97749989 172.95766943
4.02499989 179.42190627
4.07249989 186.04509592
4.11999989 192.82916746
4.16749988 199.77604999
4.21499988 206.88767261
4.26249988 214.16596441
4.30999988 221.61285448
4.35749988 229.23027191
4.40499988 237.02014580
4.45249988 244.98440525
4.49999988 253.12497935

# Eitken 

-5.00000000 -400.00000000
-4.95250000 -388.94096612
-4.90500000 -378.08757814
-4.85750000 -367.43790698
-4.81000000 -356.99002352
-4.76250000 -346.74199868
-4.71500000 -336.69190337
-4.66750000 -326.83780850
-4.62000000 -317.17778496
-4.57250001 -307.70990367
-4.52500001 -298.43223553
-4.47750001 -289.34285144
-4.43000001 -280.43982233
-4.38250001 -271.72121908
-4.33500001 -263.18511261
-4.28750001 -254.82957382
-4.24000001 -246.65267362
-4.19250001 -238.65248292
-4.14500001 -230.82707262
-4.09750001 -223.17451363
-4.05000001 -215.69287686
-4.00250001 -208.38023320
-3.95500001 -201.23465357
-3.90750001 -194.25420888
-3.86000001 -187.43697003
-3.81250001 -180.78100792
-3.76500002 -174.28439347
-3.71750002 -167.94519757
-3.67000002 -161.76149115
-3.62250002 -155.73134509
-3.57500002 -149.85283031
-3.52750002 -144.12401772
-3.48000002 -138.54297821
-3.43250002 -133.10778271
-3.38500002 -127.81650210
-3.33750002 -122.66720731
-3.29000002 -117.65796923
-3.24250002 -112.78685878
-3.19500002 -108.05194685
-3.14750002 -103.45130436
-3.10000002 -98.98300221
-3.05250002 -94.64511131
-3.00500003 -90.43570256
-2.95750003 -86.35284687
-2.91000003 -82.39461515
-2.86250003 -78.55907830
-2.81500003 -74.84430723
-2.76750003 -71.24837285
-2.72000003 -67.76934606
-2.67250003 -64.40529777
-2.62500003 -61.15429888
-2.57750003 -58.01442030
-2.53000003 -54.98373294
-2.48250003 -52.06030771
-2.43500003 -49.24221550
-2.38750003 -46.52752723
-2.34000003 -43.91431380
-2.29250003 -41.40064612
-2.24500003 -38.98459510
-2.19750004 -36.66423164
-2.15000004 -34.43762664
-2.10250004 -32.30285102
-2.05500004 -30.25797568
-2.00750004 -28.30107153
-1.96000004 -26.43020947
-1.91250004 -24.64346041
-1.86500004 -22.93889525
-1.81750004 -21.31458491
-1.77000004 -19.76860029
-1.72250004 -18.29901229
-1.67500004 -16.90389182
-1.62750004 -15.58130979
-1.58000004 -14.32933710
-1.53250004 -13.14604466
-1.48500004 -12.02950338
-1.43750004 -10.97778416
-1.39000005 -9.98895791
-1.34250005 -9.06109554
-1.29500005 -8.19226795
-1.24750005 -7.38054604
-1.20000005 -6.62400073
-1.15250005 -5.92070292
-1.10500005 -5.26872352
-1.05750005 -4.66613343
-1.01000005 -4.11100356
-0.96250005 -3.60140482
-0.91500005 -3.13540811
-0.86750005 -2.71108433
-0.82000005 -2.32650440
-0.77250005 -1.97973923
-0.72500005 -1.66885971
-0.67750005 -1.39193675
-0.63000005 -1.14704126
-0.58250006 -0.93224416
-0.53500006 -0.74561633
-0.48750006 -0.60328135
-0.44000006 -0.44915215
-0.39250006 -0.33545761
-0.34500006 -0.24221598
-0.29750006 -0.16749816
-0.25000006 -0.10937506
-0.20250006 -0.06591759
-0.15500006 -0.03519666
-0.10750006 -0.01528316
-0.06000006 -0.00424801
-0.01250006 -0.00953130
0.03499994 0.00874998
0.08249994 -0.00512170
0.12999994 -0.01030899
0.17749994 -0.01472917
0.22499993 -0.01645313
0.27249993 -0.01355177
0.31999993 -0.00409602
0.36749993 0.01384323
0.41499993 0.04219508
0.46249993 0.08288860
0.50999993 0.13785291
0.55749993 0.20901709
0.60499993 0.29831023
0.65249993 0.40766143
0.69999993 0.53899978
0.74749993 0.69425439
0.79499993 0.87535433
0.84249993 1.08422870
0.88999993 1.32280660
0.93749993 1.59301713
0.98499992 1.89678937
1.03249992 2.23605241
1.07999992 2.61273536
1.12749992 3.02876731
1.17499992 3.48607734
1.22249992 3.98659456
1.26999992 4.53224806
1.31749992 5.12496692
1.36499992 5.76668025
1.41249992 6.45931714
1.45999992 7.20480668
1.50749992 8.00507797
1.55499992 8.86206009
1.60249992 9.77768215
1.64999992 10.75387323
1.69749992 11.79256243
1.74499992 12.89567885
1.79249991 14.06515158
1.83999991 15.30290970
1.88749991 16.61088232
1.93499991 17.99099853
1.98249991 19.44518742
2.02999991 20.97537809
2.07749991 22.58349962
2.12499991 24.27148112
2.17249991 26.04125168
2.21999991 27.89474038
2.26749991 29.83387633
2.31499991 31.86058862
2.36249991 33.97680634
2.40999991 36.18445859
2.45749991 38.48547445
2.50499991 40.88178303
2.55249991 43.37531341
2.59999990 45.96799469
2.64749990 48.66175597
2.69499990 51.45852633
2.74249990 54.36023488
2.78999990 57.36881070
2.83749990 60.48618288
2.88499990 63.71428053
2.93249990 67.05503274
2.97999990 70.51036859
3.02749990 74.08221719
3.07499990 77.77250763
3.12249990 81.58316899
3.16999990 85.51613038
3.21749990 89.57332088
3.26499990 93.75666960
3.31249990 98.06810562
3.35999990 102.50955805
3.40749989 107.08295596
3.45499989 111.79022846
3.50249989 116.62958288
