# x y
# Function f(x) = exp( 40/(10 + x)) * sin(x)
# Refering points: 
 -10.00000000 29.70254499
 -9.25000000 -7.18212191
 -8.50000000 -25.87363204
 -7.75000000 -26.04667779
 -7.00000000 -14.25106137
 -6.25000000 0.60851073
 -5.50000000 11.13206085
 -4.75000000 13.76657195
 -4.00000000 9.21974159
 -3.25000000 1.17849806
 -2.50000000 -5.88460115
 -1.75000000 -8.80779509
 -1.00000000 -6.90785652
 -0.25000000 -1.87495305
 0.50000000 3.37384420
 1.25000000 6.23382578
 2.00000000 5.60186043
 2.75000000 2.21448356
 3.50000000 -1.92425872
 4.25000000 -4.65778991

# Interpolation data:

 -10.00000000 29.70254499
 -9.92875000 25.63020436
 -9.85750000 21.64416503
 -9.78625000 17.75817633
 -9.71500000 13.98481616
 -9.64375000 10.33551900
 -9.57250001 6.82060411
 -9.50125001 3.44930398
 -9.43000001 0.22979324
 -9.35875001 -2.83078209
 -9.28750001 -5.72627489
 -9.21625001 -8.45150665
 -9.14500001 -11.00223678
 -9.07375001 -13.37513129
 -9.00250001 -15.56773094
 -8.93125001 -17.57841885
 -8.86000001 -19.40638759
 -8.78875002 -21.05160571
 -8.71750002 -22.51478378
 -8.64625002 -23.79733995
 -8.57500002 -24.90136506
 -8.50375002 -25.82958739
 -8.43250002 -26.58533698
 -8.36125002 -27.17250974
 -8.29000002 -27.59553120
 -8.21875002 -27.85932014
 -8.14750002 -27.96925209
 -8.07625002 -27.93112273
 -8.00500003 -27.75111128
 -7.93375003 -27.43574406
 -7.86250003 -26.99185804
 -7.79125003 -26.42656477
 -7.72000003 -25.74721448
 -7.64875003 -24.96136062
 -7.57750003 -24.07672483
 -7.50625003 -23.10116242
 -7.43500003 -22.04262843
 -7.36375003 -20.90914445
 -7.29250003 -19.70876606
 -7.22125003 -18.44955119
 -7.15000004 -17.13952931
 -7.07875004 -15.78667160
 -7.00750004 -14.39886216
 -6.93625004 -12.98387025
 -6.86500004 -11.54932372
 -6.79375004 -10.10268364
 -6.72250004 -8.65122016
 -6.65125004 -7.20198970
 -6.58000004 -5.76181347
 -6.50875004 -4.33725738
 -6.43750004 -2.93461341
 -6.36625005 -1.55988239
 -6.29500005 -0.21875828
 -6.22375005 1.08338597
 -6.15250005 2.34151117
 -6.08125005 3.55092295
 -6.01000005 4.70728139
 -5.93875005 5.80660900
 -5.86750005 6.84529724
 -5.79625005 7.82011140
 -5.72500005 8.72819404
 -5.65375005 9.56706686
 -5.58250006 10.33463105
 -5.51125006 11.02916625
 -5.44000006 11.64932800
 -5.36875006 12.19414385
 -5.29750006 12.66300802
 -5.22625006 13.05567484
 -5.15500006 13.37225084
 -5.08375006 13.61318569
 -5.01250006 13.77926190
 -4.94125006 13.87158350
 -4.87000006 13.89156360
 -4.79875007 13.84091102
 -4.72750007 13.72161601
 -4.65625007 13.53593513
 -4.58500007 13.28637531
 -4.51375007 12.97567732
 -4.44250007 12.60679852
 -4.37125007 12.18289518
 -4.30000007 11.70730423
 -4.22875007 11.18352468
 -4.15750007 10.61519878
 -4.08625007 10.00609290
 -4.01500008 9.36007828
 -3.94375008 8.68111170
 -3.87250008 7.97321625
 -3.80125008 7.24046206
 -3.73000008 6.48694732
 -3.65875008 5.71677947
